Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Distance walking / running(mi),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2022-04-27,554.194,13.000,2144.193,2.696,11.000,2.000,70.680,61.000,106.000,5980.000,114.000
2022-04-28,490.549,13.000,2101.701,2.839,13.000,3.000,66.248,62.000,88.000,6421.000,109.000
2022-04-29,540.753,14.000,2107.772,3.341,23.000,6.000,66.846,57.000,111.000,7477.000,105.500
2022-04-30,640.916,13.000,2124.399,5.917,12.000,2.000,77.582,69.000,249.000,13614.000,127.000
2022-05-01,389.910,11.000,2126.659,2.276,3.000,2.000,74.708,63.000,84.000,5079.000,104.000
2022-05-02,494.565,13.000,2152.333,2.497,8.000,1.000,63.131,56.000,92.000,5458.000,92.000
2022-05-03,621.620,15.000,2159.254,3.780,17.000,1.000,66.208,56.000,146.000,8436.000,104.000
2022-05-04,698.201,16.000,2210.188,3.990,21.000,8.000,71.315,57.000,147.000,8908.000,107.500
2022-05-05,87.010,2.000,332.026,1.661,6.000,1.000,75.373,,15.000,4024.000,
2022-05-06,,,1893.388,2.034,,4.000,,,,4936.000,
2022-05-07,298.887,10.000,2025.707,1.823,2.000,,63.373,56.000,62.000,4088.000,108.500
2022-05-08,38.643,2.000,1892.599,8.503,2.000,6.000,54.537,,7.000,21603.521,103.000
2022-05-09,2.464,,1531.702,1.429,1.000,1.000,,,,3600.000,
2022-05-10,,,,1.594,,4.000,,,,3910.000,
2022-05-11,,,,1.838,,2.000,,,,4708.000,
2022-05-12,,,,1.841,,4.000,,,,4555.661,
2022-05-13,,,,2.821,,8.000,,,,6835.785,
2022-05-14,58.959,1.000,1020.758,1.887,3.000,4.000,95.403,,19.000,4462.300,108.000
2022-05-15,159.460,5.000,2033.912,2.302,3.000,7.000,77.589,66.000,40.000,5179.886,87.000
2022-05-16,401.950,11.000,2111.584,2.418,11.000,4.000,75.996,56.000,87.000,5410.000,107.000
2022-05-17,485.334,12.000,2142.280,3.025,14.000,5.000,76.300,62.000,129.000,6714.341,114.000
2022-05-18,715.871,11.000,2104.677,6.167,24.000,5.000,78.378,59.000,225.000,13910.000,100.000
2022-05-19,622.970,17.000,2173.690,3.406,18.000,10.000,66.391,56.000,143.000,7684.000,97.000
2022-05-20,7.399,1.000,1959.969,2.837,,2.000,58.000,,1.000,7094.000,
2022-05-21,2.466,,1888.043,2.342,1.000,8.000,,,,5781.000,
2022-05-22,,,1792.967,3.382,,9.000,,,,8258.000,
2022-05-23,0.206,,1967.321,0.984,,2.000,,,,2651.000,
2022-05-24,730.444,13.000,2181.895,5.284,20.000,18.000,83.098,58.000,198.000,12170.000,122.000
2022-05-25,351.709,11.000,2103.661,1.846,3.000,1.000,69.009,57.000,79.000,4114.000,98.000
2022-05-26,826.146,12.000,2140.169,7.507,49.000,17.000,70.211,56.000,202.000,17258.000,90.500
2022-05-27,18.258,1.000,947.448,0.326,,2.000,73.682,,7.000,755.000,99.000